,country,predicted_suicides_no
0,Antigua and Barbuda,0.0
1,Argentina,3448.802223766668
2,Armenia,66.18110319614263
3,Australia,2906.5213291875334
4,Austria,1343.4874883803707
5,Belgium,1916.7382339128942
6,Belize,24.731478023837507
7,Brazil,10898.929460584754
8,Chile,1903.5141750039218
9,Colombia,2138.996991984905
10,Croatia,741.0090472216951
11,Cuba,1469.313970844046
12,Cyprus,42.919672498964076
13,Czech Republic,1546.3888214136018
14,Denmark,632.6543102878103
15,Ecuador,777.7349261853354
16,Estonia,246.73402983415718
17,Finland,822.3479506529308
18,Georgia,145.13011139130592
19,Germany,10103.592355523782
20,Greece,563.1241138072692
21,Grenada,0.0029432196554541553
22,Guatemala,474.1196455372851
23,Hungary,1982.3935773529836
24,Iceland,45.596892269572024
25,Israel,447.2389743369072
26,Italy,4194.321325428226
27,Japan,24505.08819172007
28,Kazakhstan,3144.4998564699263
29,Kyrgyzstan,461.7419495382786
30,Latvia,390.83149141301635
31,Lithuania,955.3330555433656
32,Luxembourg,61.27394344020665
33,Malta,24.756013126246334
34,Mauritius,119.35905417983473
35,Mexico,6156.691588211448
36,Netherlands,1837.2890440286317
37,Nicaragua,315.6804412177647
38,Norway,556.5659084343648
39,Panama,149.40934727985803
40,Poland,6116.070268691475
41,Puerto Rico,222.4130926036167
42,Qatar,58.22561953114629
43,Republic of Korea,14069.349544361428
44,Romania,2216.781843069569
45,Russian Federation,27092.80199527582
46,Saint Vincent and Grenadines,2.1835738890084624
47,Serbia,1168.0571697893542
48,Seychelles,9.316618448015452
49,Singapore,377.2485436328769
50,Slovenia,388.0545620962453
51,South Africa,548.935844763658
52,Spain,3891.688920185132
53,Sweden,1153.1940673856684
54,Switzerland,1072.7790952826654
55,Thailand,3894.8412116097443
56,Turkey,1674.4134595304622
57,Turkmenistan,144.73075877985534
58,Ukraine,8016.7803637065235
59,United Kingdom,4845.497195633536
60,United States,43151.25149774335
61,Uruguay,594.4879541312953
